제품명,가격,제조사,주요 성분,효능 및 기능,복용 방법,주의사항 및 부작용,이미지URL,카테고리/태그
,0원,라이펫ㅣ네추라너리쉬,,"FDA가 인증한 반려동물 간식 제조사 intertek 인증된 무독성 고무 재질 장기간 사용 가능한 뛰어난 내열성과 내구성 상세정보 펼쳐보기 상품 정보 품명 및 모델명 네추라너리쉬 미니 공룡 핑크 덴탈 트릿 법에 의한 인증, 허가 등을 받았음을 확인할 수 있는 경우 그에 대한 사항 상품 상세 참조 제조국 또는 원산지 미국 제조자/수입자 페슬러 소비자 상담관련 전화번호 070-4519-6419 유통기한 또는 소비기한 2029. 01. 01 이거나 그 이후인 상품 만족도 높은 상품을 찾으시나요? Previous 찜하기 종합관리 추천 아더마스 아더마스 블루베리 치즈 (80g) 12,000원 0.0리뷰 0 찜하기 치아 추천 메디코펫 메디코펫 데일리 덴탈바 조인트 14개입 18,000원 5.0리뷰 3 오늘출발 찜하기 종합관리 추천 라이펫 진정성 CA 카르니틴 아르기닌 강아지 고양이 당뇨 다이어트 영양제 24% 25,000원 33,000원 5.0리뷰 10 특가 오늘출발 찜하기 행동 추천 닥터맘마 미니파이케어 릴렉스(스트레스) 10개입 12% 11,900원 13,500원 5.0리뷰 16 오늘출발 Next 리뷰 상품을 구매하신 분들이 작성한 리뷰입니다. 총점 평균 5 별점 5점 5점 7명 4점 0명 3점 0명 2점 0명 1점 0명 베스트 리뷰 10,000원 쿠폰 증정! 매주 월요일 12시 당첨자 3명 발표 사진 리뷰 7 전체 리뷰 7 별점순 최신순 백설 말티즈 3살 3.8kg 별점 5점 2024.08.06 [트릿트릭 리필 오리&인섹트맛 32g] 한 번 잡아줬더니 먹어보고 혼자 잘 먹네요 ㅋㅋ 한쪽면 먹고 안으로 넣어줬는데 공룡이 딱딱해서 밑에 구멍으로 빼먹진 못해요 반대쪽으로 끼워줬더니 다 먹었네요 한개 끼워줘서 금방 먹긴하는데 탈나지 않으면 매일 무료할 때 주면 좋을 것 같아요~ 백설 말티즈 3살 3.8kg 별점 5점 2024.08.06 [미니 공룡 핑크 덴탈 트릿 (리필껌 미포함)] 호기심 넘치더니 열탕 소독해서 막상 줬더니 어떻게 먹어야할지를 모르네요 ㅋㅋ 모양 일단 귀엽고 고무냄새가 좀 심해요 삶아도 안 없어지는.. 괜찮겠죠? 감쟈 말티푸 2살 9개월 3.9kg 별점 5점 2024.06.11 [미니 공룡 핑크 덴탈 트릿 (리필껌 미포함)] 우리 아이가 물어서 망가뜨리는게 많아서 솔직히 걱정이 너무 많았었는데 생각외로 튼튼해요 근데 저 안에 있는건 잘 못 꺼내 먹어요 ㅋㅋ 카카 닥스훈트 8살 7.8kg 별점 5점 2024.04.26 [트릿트릭 리필 소고기맛 32g] 2kg 강아지가 잘 갖고 놀아요 온몸으로... 세 개 다 끝이 보일 정도로 먹어놓고도 에너지가 남아있어요 애기 강아지한테 추천! 카카 닥스훈트 8살 7.8kg 별점 5점 2024.04.23 [미니 공룡 핑크 덴탈 트릿 (리필껌 미포함)] 2kg 강아지가 잘 갖고 놀아요 온몸으로... 세 개 다 끝이 보일 정도로 먹어놓고도 에너지가 남아있어요 애기 강아지한테 추천! 이전 1 2 다음 상품 문의 0 상품에 관한 문의가 아닌 배송, 결제, 교환/반품에 대한 문의는 1:1 문의에 남겨주세요. 문의하기 제목 작성자 날짜 답변 상태 배송정보 페이지 상단에 안내된 배송 기준을 확인해주세요. 브랜드 배송의 경우 브랜드별로 배송비와 무료배송 조건이 다르게 적용돼요. 라이펫 배송의 경우 30,000원 이상 구매 시 무료배송이 적용돼요. (30,000원 미만 구매 시 배송비 3,000원 추가) 부피가 큰 용품 및 일부 상품은 추가 배송비가 요청될 수 있어요. 취소/교환/반품 안내 주문 취소는 ‘결제 완료’ 상태에서만 가능해요. '상품준비중'일 경우는 1:1 문의를 통해서 주문을 취소할 수 있어요. 교환/반품은 상품 수령일로부터 7일 이내에 접수할 수 있어요. 리뷰를 작성한 경우 교환/반품이 불가능해요. 단순 변심 등의 구매자 사유의 교환/반품은 반품 배송비가 부과되며, 반품 배송비는 교환/반품 페이지에서 확인할 수 있어요. 판매자의 책임이 있는 상품 및 배송 문제는 교환/반품 택배비가 부과되지 않아요. 상품 및 배송에 문제가 있는 경우에 동일 상품으로만 교환할 수 있어요. 반품 신청한 상품의 회수 및 검수가 완료된 후 이상이 없을 경우 환불이 진행돼요. 교환/반품은 상품 회수 및 상태 확인 후 거절될 수 있어요. 상품 상세 설명에 교환/환불 정책이 별도로 기재된 경우 해당 내용이 우선돼요. 쿠폰 및 적립금 사용 여부에 따라 환불되는 금액에 차이가 있을 수 있어요. 일부 상품의 반품으로 주문 건의 쿠폰 사용 조건이 충족되지 않는 경우 쿠폰 적용이 취소될 수 있어요. 상품 색상과 이미지는 기기의 해상도에 따라 다르게 보일 수 있으며, 무료 교환/환불의 사유가 되지 않아요.",,,https://img.lifet.co.kr/logo/app_logo.png,
,"51,500원",라이펫ㅣ클리닉스,"아미노산제 , DL-메치오닌 , 허브복합추출물(Saururus chinensis, Houttuynia, Licorice, etc) , 효모추출물(Source of beta-glucan & MOS) , 천연과일향분말 , 베타글루칸 인공 첨가물, 알러젠 관련 성분의 함량 평가는 소형견/고양이 5kg, 중대형견은 15kg 기준이며, 특정 질환에 유효성이 입증된 경우 함께 표시했어요.",스테로이드 미함유로 부작용으로부터 안전 장점막 방어기능 회복시켜 염증성 장질환에 탁월 캡슐로 간편한 장관리 보조제 2,장관리보조제 클리닉스 아이비디 옥스 제형 캡슐 급여 방법 캡슐을 직접 급여하거나 열어서 분말을 사료 또는 간식과 함께 급여해주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
,0원,라이펫ㅣ라이펫,"글루코오스 , 결정셀룰로오스 , 프락토올리고당 , 기타가공품(정제어유분말) , 유도단백질(가수분해닭간) , 마리골드추출분말 , 비타민 C , 건조 효모 , 비타민 E , 히알루론산 , 포도종자추출물 , 아스타잔틴 , 마그네슘 , 혼합제제(비타민B믹스DS) 인공 첨가물, 알러젠 관련 성분의 함량 평가는 소형견/고양이 5kg, 중대형견은 15kg 기준이며, 특정 질환에 유효성이 입증된 경우 함께 표시했어요.",망막 건강에 집중 관여하는 루테인과 지아잔틴 강력한 안구 항산화 물질 아스타잔틴과 안토시아니딘 보존제 등 유해성분 ALL FREE 안전하고 편리한 개별 스틱 포장 2,눈 영양제 진정성 LZ 루테인 지아잔틴 제형 분말 급여 방법 주식 또는 간식과 함께 급여해주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
,"39,900원",라이펫ㅣ클리닉스,"알란토인 , DL-판테놀 , 일라이트추출물 , 마데카소사이드 , 병풀잎추출물 , 달맞이꽃씨추출물 , 세라마이드 , 히알루론산 , 히알루론산 나트륨 , 히드로라이즈콜라겐 , 정제수 인공 첨가물, 알러젠 관련 성분의 함량 평가는 소형견/고양이 5kg, 중대형견은 15kg 기준이며, 특정 질환에 유효성이 입증된 경우 함께 표시했어요.",손상된 피부 장벽을 개선시켜 피부질환 컨트롤 도움 천연유래 성분으로 구성되어 안전하게 작용 피부 보습에 도움되는 히알루론산 함유 피부의 치유를 촉진시키는 알란토인 함유 2,,,https://img.lifet.co.kr/logo/app_logo.png,
,"83,700원",라이펫ㅣ나우,,,일반 사료 스몰브리드 어덜트 독 5.4kg 제형 건사료 급여 방법 권장 급여량에 맞춰 급여해 주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
,"19,500원",라이펫ㅣ반려다움,"말토덱스트린 , 난소화성말토덱스트 , 치커리추출물 , 프락토올리고당 , 북어분말 , Lcurvatus HY 7601와 L.plantarum KY 1032의 프로바이오틱스 복합물 , Hypet 유산균 , 다이제자임 , 해조추출물 , 산화아연 인공 첨가물, 알러젠 관련",장내 환경 균형 유지를 위한 혼합 프로바이오틱스 사용 식물성 소화 효소로 장 건강 집중 케어 하루 100억 유산균으로 장 면역·피모 개선에 도움 고소한 북어 분말이 더해진 기호성 높은 영양제 2,"위, 장 영양제 반려다움 프로바이오틱스 30개입 제형 파우더 급여 방법 사료나 간식에 뿌려서 급여해 주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기",,https://img.lifet.co.kr/logo/app_logo.png,
,"90,000원",라이펫ㅣ아카나,,,일반 사료 어덜트 레시피 독 6KG 제형 건사료 급여 방법 권장 급여량에 맞춰 급여해 주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
,"49,000원",라이펫ㅣ버틀러홀딩스,"연어 , 가수분해 오리 , 쌀 , 코코넛오일 , 혼합곡물(찰흑미, 발아현미, 현미, 찰기장, 밀쌀) , 단호박 , 고구마 , 당근 , 가수분해 대두단백 , 식물성글리세린 , 프락토올리고당 , 소르빈산칼륨 , 바나나 , 체리 , 락토바실러스플란타럼 , 맥주효모 , 홍삼분말 , 오메가3 인공 첨가물, 알러젠 관련 성분의 함량 평가는 소형견/고양이 5kg, 중대형견은 15kg 기준이며, 특정 질환에 유효성이 입증된 경우 함께 표시했어요.",에어드라이/스팀보일드로 촉촉하고 기호성 좋은 사료 신선한 국내산 재료로 휴먼그레이드 등급의 사료 오메가3와 지방산이 풍부한 노르웨이산 연어 사용 200g 소분 포장으로 안전하고 신선한 급여 가능 2,피부 케어 반건조 사료 더텐소프트 연어&스킨 제형 츄어블 트릿 급여 방법 전자레인지에 10초 정도 데워주시면 부드럽게 급여가 가능합니다. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
,0원,라이펫ㅣ오느루,,,"간식 무항생제 오리 사골(60g*3EA) 제형 냉동 습식 급여 방법 급여 희망일 하루전에 냉장해동 권장 / 너무 뜨겁지 않게, 급여 전 흔들어서 급여해주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기",,https://img.lifet.co.kr/logo/app_logo.png,
,"21,000원",라이펫ㅣ아더마스,,,주식 미트볼 사슴 (180g) 제형 화식 급여 방법 권장 급여량에 맞춰 급여해 주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
,"28,000원",라이펫ㅣ조공,"어유 , 아스타잔틴 , 비타민 E(D-α-Tocopherol) , 젤라틴(Fish Gelatin) , 글리세린 , 정제수 인공 첨가물, 알러젠 관련 오메가-3 33.8% EPA 66mg, DHA 44mg 성분의 함량 평가는 소형견/고양이 5kg, 중대형견은 15kg 기준이며, 특정 질환에 유효성이 입증된 경우 함께 표시했어요.",원료와 완제품 모두 IFOS 5 star 인증 항산화에 효과적인 고순도 아스타잔틴 함유 누구나 먹이기 쉬운 작은 1cm 캡슐 cGMP 등급의 캐나다 제조 시설에서 생산 2,오메가3 영양제 조공 rTG 레드 오메가-3 mini 제형 연질 캡슐 급여 방법 권장 급여량에 맞게 급여해주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
,"11,900원",라이펫ㅣ닥터맘마,"오리고기 , 비타민합제(비타민 D, 비타민 C 외) , 미네랄합제(철, 구리 외) , 사과 , 프로폴리스 , 타우린 , 스피루리나분말 , 세이지 , 코엔자임Q10 , 한천 인공 첨가물, 알러젠 관련 성분의 함량 평가는 소형견/고양이 5kg, 중대형견은 15kg 기준이며, 특정 질환에 유효성이 입증된 경우 함께 표시했어요.",구강 건강에 도움되는 프로폴리스 함유 건강에 중요한 수분보충 촉촉한 습식 간식으로 해결 사람이 먹는 것과 동일하게 휴먼그레이드 살고기 사용 HACCP의 인증 받은 안심 제조시설 2,구강 처방간식 닥터맘마 미니파이케어 마우스 제형 무스 급여 방법 식기에 옮겨 먹기 편하도록 잘게 나누어 급여해주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
,"65,500원",라이펫ㅣ트러스티푸드,"돼지고기 홍두깨살 , 돼지 심장 , 돼지 허파 , 단호박 , 돼지 간 , 당근 , 애호박 , 브로콜리 , 양배추 , 블루베리 , 사과 , 해바라기유 , 치아씨 , 제이인산칼슘 , 크랜베리 , 난각분말 , 대구간유 , 정제소금 , 주석산수소콜린 , 마그네슘 아미노산킬레이트 , 비타민E 아세테이트 , 글루콘산 아연 , 켈프 파우더(해초) , 망간 아미노산킬레이트 , 글루콘산 구리 인공 첨가물, 알러젠 관련","영양 전문 수의사가 만든 완전균형 주식사료 생고기 함량 63% 신선한 국내산 생고기 사용 안전하고 믿을 수 있는 첨가물, 인공보존재 ZERO 국내산 원재료 사용으로 자신있는 성분 공개 2","동결건조 사료 트러스티푸드 동결건조 포크 패티 제형 동결건조 패티 급여 방법 물에 불리거나, 간식 또는 사료 토핑으로 급여해주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기",,https://img.lifet.co.kr/logo/app_logo.png,
